id,timestamp,hostname,interface,description,encapsulation,vlan,rewrite,input_policy,output_policy,modified_by_id
39643,2021-05-21 05:00:45.702457,PRQG0049CIBE001,Bundle-Ether37.660,PRQG0049CICU001 Prepaid FTTH DHCP,dot1q,660,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39644,2021-05-21 05:00:45.702502,PRQG0049CIBE001,Bundle-Ether37.661,MTP00H22CICU001 Prepaid FTTH DHCP,dot1q,661,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39645,2021-05-21 05:00:45.702548,PRQG0049CIBE001,Bundle-Ether37.662,OLGPXOLGCICU001 Prepaid FTTH DHCP,dot1q,662,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39646,2021-05-21 05:00:45.702593,PRQG0049CIBE001,Bundle-Ether37.663,BLAPXBLACICU001_OLT_Prepaid FTTH DHCP,dot1q,663,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39647,2021-05-21 05:00:45.702639,PRQG0049CIBE001,Bundle-Ether37.664,CABN5695CICU001_PFCONS,dot1q,664,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39648,2021-05-21 05:00:45.702684,PRQG0049CIBE001,Bundle-Ether37.665,MLLN0037CICU001 Prepaid FTTH DHCP,dot1q,665,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39649,2021-05-21 05:00:45.702729,PRQG0049CIBE001,Bundle-Ether37.666,NSBS1366CICU001_OLT_PFCONS,dot1q,666,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39650,2021-05-21 05:00:45.702775,PRQG0049CIBE001,Bundle-Ether37.668,BCN00550CICU001 Prepaid FTTH DHCP,dot1q,668,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39651,2021-05-21 05:00:45.702825,PRQG0049CIBE001,Bundle-Ether37.671,SROPXSROCICU001 Prepaid FTTH DHCP,dot1q,671,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39652,2021-05-21 05:00:45.702894,PRQG0049CIBE001,Bundle-Ether37.673,MCT03903CICU001 Prepaid FTTH DHCP,dot1q,673,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39653,2021-05-21 05:00:45.702930,PRQG0049CIBE001,Bundle-Ether37.674,SROS3549CICU001 Prepaid FTTH DHCP,dot1q,674,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39654,2021-05-21 05:00:45.702966,PRQG0049CIBE001,Bundle-Ether37.675,BNNS0801CICU001_OLT_PFCONS,dot1q,675,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39655,2021-05-21 05:00:45.703001,PRQG0049CIBE001,Bundle-Ether37.677,BVT04682CICN001 Prepaid_FTTH_DHCP,dot1q,677,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39656,2021-05-21 05:00:45.703036,PRQG0049CIBE001,Bundle-Ether37.678,BOA00B41CICN001 Prepaid_FTTH_DHCP,dot1q,678,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39657,2021-05-21 05:00:45.703072,PRQG0049CIBE001,Bundle-Ether37.680,TUG00N31CICU001_OLT_PFCONS,dot1q,680,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39658,2021-05-21 05:00:45.703107,PRQG0049CIBE001,Bundle-Ether37.681,SFU05156CICU001 Prepaid FTTH DHCP,dot1q,681,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39659,2021-05-21 05:00:45.703143,PRQG0049CIBE001,Bundle-Ether37.682,LAGN0000CICU001_Prepaid_FTTH_DHCP,dot1q,682,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39660,2021-05-21 05:00:45.703179,PRQG0049CIBE001,Bundle-Ether37.900,PRQG0049CICU001_MSAN_DSL_Public_IP_DHCP_DNAT,dot1q,900,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39661,2021-05-21 05:00:45.703214,PRQG0049CIBE001,Bundle-Ether37.950,FNAT_NPQHUOL002,dot1q,950,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39662,2021-05-21 05:00:45.703250,PRQG0049CIBE001,Bundle-Ether37.951,FNAT_NPQHUOL003,dot1q,951,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39663,2021-05-21 05:00:45.703286,PRQG0049CIBE001,Bundle-Ether37.952,FNAT_NPQHUOL001,dot1q,952,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
